gender,hsc_p,hsc_s,degree_p,degree_t,work_ex,etest_p,specialisation,status,salary
M,78.0,Commerce,72.0,Comm&Mgmt,No,72.0,Mkt&Fin,Placed,250000.0
F,66.0,Commerce,65.0,Comm&Mgmt,No,75.0,Mkt&HR,Not Placed,
M,76.0,Commerce,65.0,Comm&Mgmt,No,75.0,Mkt&Fin,Placed,250000.0
M,71.0,Commerce,65.0,Comm&Mgmt,No,65.0,Mkt&Fin,Placed,250000.0
M,73.0,Commerce,70.0,Comm&Mgmt,Yes,72.0,Mkt&Fin,Placed,260000.0
M,68.0,Commerce,65.0,Comm&Mgmt,No,70.0,Mkt&Fin,Placed,250000.0
M,63.0,Science,66.0,Sci&Tech,No,64.0,Mkt&Fin,Placed,240000.0
M,58.0,Science,56.0,Sci&Tech,No,62.0,Mkt&HR,Not Placed,
M,74.0,Commerce,69.0,Comm&Mgmt,No,70.0,Mkt&Fin,Placed,250000.0
M,73.0,Commerce,67.0,Comm&Mgmt,No,70.0,Mkt&Fin,Placed,250000.0
M,70.0,Science,68.0,Sci&Tech,No,65.0,Mkt&Fin,Placed,250000.0
M,72.0,Commerce,65.0,Comm&Mgmt,No,70.0,Mkt&Fin,Placed,250000.0
M,67.0,Commerce,65.0,Comm&Mgmt,No,70.0,Mkt&Fin,Placed,250000.0
M,66.0,Science,65.0,Sci&Tech,No,65.0,Mkt&Fin,Placed,250000.0
M,70.0,Commerce,68.0,Comm&Mgmt,No,70.0,Mkt&Fin,Placed,250000.0
M,69.0,Commerce,66.0,Comm&Mgmt,No,68.0,Mkt&Fin,Placed,250000.0
M,68.0,Commerce,65.0,Comm&Mgmt,No,67.0,Mkt&Fin,Placed,250000.0
M,67.0,Commerce,64.0,Comm&Mgmt,No,66.0,Mkt&Fin,Placed,250000.0
M,66.0,Commerce,63.0,Comm&Mgmt,No,65.0,Mkt&Fin,Placed,250000.0
M,65.0,Commerce,62.0,Comm&Mgmt,No,64.0,Mkt&Fin,Placed,250000.0
M,64.0,Commerce,61.0,Comm&Mgmt,No,63.0,Mkt&Fin,Placed,250000.0
M,63.0,Commerce,60.0,Comm&Mgmt,No,62.0,Mkt&Fin,Placed,250000.0
M,62.0,Commerce,59.0,Comm&Mgmt,No,61.0,Mkt&Fin,Placed,250000.0
M,61.0,Commerce,58.0,Comm&Mgmt,No,60.0,Mkt&Fin,Placed,250000.0
M,60.0,Commerce,57.0,Comm&Mgmt,No,59.0,Mkt&Fin,Placed,250000.0
M,59.0,Commerce,56.0,Comm&Mgmt,No,58.0,Mkt&Fin,Placed,250000.0
M,58.0,Commerce,55.0,Comm&Mgmt,No,57.0,Mkt&Fin,Placed,250000.0
M,57.0,Commerce,54.0,Comm&Mgmt,No,56.0,Mkt&Fin,Placed,250000.0
M,56.0,Commerce,53.0,Comm&Mgmt,No,55.0,Mkt&Fin,Placed,250000.0
M,55.0,Commerce,52.0,Comm&Mgmt,No,54.0,Mkt&Fin,Placed,250000.0
M,54.0,Commerce,51.0,Comm&Mgmt,No,53.0,Mkt&Fin,Placed,250000.0
M,53.0,Commerce,50.0,Comm&Mgmt,No,52.0,Mkt&Fin,Placed,250000.0
M,52.0,Commerce,49.0,Comm&Mgmt,No,51.0,Mkt&Fin,Placed,250000.0
M,51.0,Commerce,48.0,Comm&Mgmt,No,50.0,Mkt&Fin,Placed,250000.0
M,50.0,Commerce,47.0,Comm&Mgmt,No,49.0,Mkt&Fin,Placed,250000.0
